empresa_key,nombre,rank,poblacion,provincia,sector,sector actividad,empleados,evolucion,facturacion,ventas 2019,ventas 2020,resultado 2020,ebitda 2020
0,MERCADONA SA,1,                        tavernes blanqu                                                ,Valencia,4711,Minoristas de alimentos / medicamentos,98141.0,0 ,23343778000,23446740000,24649629000,727263000,1616007000
1,REPSOL PETROLEO SA,2,                        madrid                                                ,Madrid,1920,Petróleo y gas,3630.0,0 ,21270559000,21758602000,13422835000,2415630000,565439000
2,COMPAÑIA ESPAÑOLA DE PETROLEOS SA,3,                        madrid                                                ,Madrid,1920,Petróleo y gas,2723.0,0 ,18307333000,18320113000,11228832000,815545000,841629000
3,INDUSTRIA DE DISEÑO TEXTIL SA,7,                        arteixo                                                ,Coruña,4642,Ropa / textiles,,1 ,18261000000,18499000000,10119000000,2923000000,3022000000
4,CEPSA TRADING SA,10,                        madrid                                                ,Madrid,4671,Petróleo y gas,123.0,1 ,16494222000,16494222000,9158635000,51063000,71075000
5,REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,6,                        madrid                                                ,Madrid,4671,Petróleo y gas,899.0,0 ,15714171000,15810828000,10362445000,333054000,405190000
6,ENDESA ENERGIA SA,5,                        madrid                                                ,Madrid,3514,Utilities / Servicios de utilidad pública,857.0,0 ,12603582000,12652181000,10713848000,816936000,1027956000
7,EL CORTE INGLES SA,9,                        madrid                                                ,Madrid,4719,Minoristas (excepto alimentos y medicamentos),62749.0,0 ,11374025000,11672424000,9461528000,2402167000,2036911000
8,SEAT SA,11,                        martorell                                                ,Barcelona,2910,Automotor,195.0,0 ,11157300000,11423000000,8999200000,194200000,101200000
9,SOCIEDAD ESTATAL LOTERIAS Y APUESTAS DEL ESTADO SME SA,16,                        madrid                                                ,Madrid,9200,Productos y actividades relacionados con ocio y cultura,506.0,1 ,9257347000,9310445000,7735662000,1455990000,1947681000
11,REPSOL TRADING SA,26,                        madrid                                                ,Madrid,5020,Petróleo y gas,178.0,1 ,8590258000,9030644000,5616407000,209613000,119667000
15,CENTROS COMERCIALES CARREFOUR SA,12,                        madrid                                                ,Madrid,4711,Minoristas de alimentos / medicamentos,37699.0,1 ,8039806000,8185548000,8491008000,311327000,296156000
16,IBERDROLA CLIENTES ESPAÑA SOCIEDAD ANONIMA,23,                        bilbao                                                ,Bizkaia,3519,Utilities / Servicios de utilidad pública,249.0,1 ,7808126000,7818956000,5719827000,1081485000,1230144000
17,RENAULT ESPAÑA SA,21,                        valladolid                                                ,Valladolid,2910,Automotor,10146.0,1 ,7594373000,7649004000,6276938000,49845000,304417000
20,PETROLEOS DEL NORTE SOCIEDAD ANONIMA,42,                        muskiz                                                ,Bizkaia,1920,Petróleo y gas,1014.0,2 ,5833503000,5850168000,3543524000,140086000,211630000
23,"PEUGEOT CITROEN AUTOMOVILES ESPAÑA, SA",20,                        vigo                                                ,Pontevedra,2910,Automotor,7334.0,3 ,5266148270,5380601471,6543718691,8893355,272499586
25,OPEL ESPAÑA SL,31,                        figueruelas                                                ,Zaragoza,2910,Automotor,6402.0,0 ,5136624000,5242072000,4568669000,31986000,125443000
27,"TELEFONICA, SA",4,                        madrid                                                ,Madrid,6420,Telecomunicaciones,1200.0,1 ,4810000000,4855000000,10807000000,1685000000,944000000
28,ORANGE ESPAGNE SA,30,                        pozuelo de alar                                                ,Madrid,6120,Telecomunicaciones,3203.0,1 ,4779670000,5033401000,4719807000,21802000,1085823000
30,CEPSA COMERCIAL PETROLEO SA,47,                        madrid                                                ,Madrid,4671,Petróleo y gas,1018.0,1 ,4682020000,4682749000,3253269000,128497000,230166000
46,ALCAMPO SA,45,                        madrid                                                ,Madrid,4711,Minoristas de alimentos / medicamentos,15233.0,3 ,3394397000,3414425000,3349271000,112066000,197043000
