nombre,rank,poblacion,provincia,sector,sector actividad,empleados,evolucion,facturacion,ventas 2019,ventas 2020,resultado 2020,ebitda 2020
MERCADONA SA,1,                        tavernes blanqu                                                ,Valencia,4711,Minoristas de alimentos / medicamentos,98141.0,0 ,23343778000,23446740000,24649629000,727263000,1616007000
REPSOL PETROLEO SA,2,                        madrid                                                ,Madrid,1920,Petróleo y gas,3630.0,0 ,21270559000,21758602000,13422835000,2415630000,565439000
COMPAÑIA ESPAÑOLA DE PETROLEOS SA,3,                        madrid                                                ,Madrid,1920,Petróleo y gas,2723.0,0 ,18307333000,18320113000,11228832000,815545000,841629000
INDUSTRIA DE DISEÑO TEXTIL SA,7,                        arteixo                                                ,Coruña,4642,Ropa / textiles,,1 ,18261000000,18499000000,10119000000,2923000000,3022000000
CEPSA TRADING SA,10,                        madrid                                                ,Madrid,4671,Petróleo y gas,123.0,1 ,16494222000,16494222000,9158635000,51063000,71075000
REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS SA,6,                        madrid                                                ,Madrid,4671,Petróleo y gas,899.0,0 ,15714171000,15810828000,10362445000,333054000,405190000
ENDESA ENERGIA SA,5,                        madrid                                                ,Madrid,3514,Utilities / Servicios de utilidad pública,857.0,0 ,12603582000,12652181000,10713848000,816936000,1027956000
EL CORTE INGLES SA,9,                        madrid                                                ,Madrid,4719,Minoristas (excepto alimentos y medicamentos),62749.0,0 ,11374025000,11672424000,9461528000,2402167000,2036911000
SEAT SA,11,                        martorell                                                ,Barcelona,2910,Automotor,195.0,0 ,11157300000,11423000000,8999200000,194200000,101200000
SOCIEDAD ESTATAL LOTERIAS Y APUESTAS DEL ESTADO SME SA,16,                        madrid                                                ,Madrid,9200,Productos y actividades relacionados con ocio y cultura,506.0,1 ,9257347000,9310445000,7735662000,1455990000,1947681000
